id,user_id,game_id,action,details,created_date
LOG_0D7C6619,system,GAME_BD7CC8ED,create,Game created: Dragon Slots,2026-01-02T08:57:11.549586
LOG_113AD415,12345,GAME_BD7CC8ED,game_win,"Stake: 100.00, Payout: 83.174727324360360000, Result: -16.825272675639640000",2026-01-02T08:57:11.550910
LOG_5E4BDC69,12345,GAME_BD7CC8ED,game_win,"Stake: 100.00, Payout: 68.855438490840430000, Result: -31.144561509159570000",2026-01-02T08:57:11.552763
LOG_71843127,system,GAME_217261CD,create,Game created: Dragon Slots,2026-01-02T08:57:53.614999
LOG_F1A07E0B,12345,GAME_217261CD,game_loss,"Stake: 100.00, Payout: 0.000, Result: -100.000",2026-01-02T08:57:53.615682
LOG_6920BDB9,12345,GAME_217261CD,game_loss,"Stake: 100.00, Payout: 0.000, Result: -100.000",2026-01-02T08:57:53.616694
LOG_C1BA6E04,system,GAME_674E4BA0,create,Game created: Flying Plane,2026-01-02T09:07:19.227787
LOG_9336C62F,7146701713,GAME_674E4BA0,game_loss,"Stake: 1000.00, Payout: 0.000, Result: -1000.000",2026-01-02T09:07:54.470723
